INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../src/test_tb.cpp in debug mode
   Compiling ../../../src/test.cpp in debug mode
   Generating csim.exe
0,0
6,6
6,6
3.10254,3.10254
6,6
5.58594,5.58594
6,6
2.22266,2.22266
6,6
1.61133,1.61133
6,6
2.02344,2.02344
6,6
6,6
3.58789,3.58789
6,6
4.2373,4.2373
6,6
6,6
0,0
2.37207,2.37207
0,0
0,0
0,0
0,0
1.89258,1.89258
0,0
1.04102,1.04102
6,6
0.891602,0.891602
0.961914,0.961914
6,6
0,0
0,0
0,0
6,6
3.67188,3.67188
5.17383,5.17383
1.30371,1.30371
3.46875,3.46875
1.01855,1.01855
0,0
6,6
0,0
4.05957,4.05957
5.28223,5.28223
3.33301,3.33301
6,6
0,0
6,6
2.07324,2.07324
3.11035,3.11035
0,0
0,0
0,0
4.57715,4.57715
4.93945,4.93945
6,6
0,0
0.44043,0.44043
5.3623,5.3623
0,0
5.95605,5.95605
2.125,2.125
0,0
3.95508,3.95508
0,0
6,6
0,0
3.24121,3.24121
0,0
0,0
2.3252,2.3252
0,0
4.99316,4.99316
0,0
6,6
6,6
0,0
6,6
0,0
0.71582,0.71582
0.598633,0.598633
0,0
4.58105,4.58105
3.62207,3.62207
2.11719,2.11719
6,6
0,0
1.55371,1.55371
0.0761719,0.0761719
0,0
2.90527,2.90527
0.262695,0.262695
0,0
0.979492,0.979492
1.1543,1.1543
3.52637,3.52637
0,0
0,0
5.20313,5.20313
0,0
6,6
0,0
6,6
0,0
0,0
4.60254,4.60254
0,0
4.98926,4.98926
1.18457,1.18457
0,0
0,0
6,6
5.66309,5.66309
0,0
6,6
0,0
6,6
6,6
0,0
6,6
0,0
0,0
6,6
0,0
0,0
3.78223,3.78223
0,0
6,6
6,6
6,6
0,0
6,6
0,0
0.62793,0.62793
6,6
6,6
0,0
6,6
0,0
0,0
0,0
0,0
0.217773,0.217773
4.52832,4.52832
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6,6
1.27344,1.27344
6,6
0,0
0.974609,0.974609
6,6
0,0
0,0
0,0
0.158203,0.158203
2.14941,2.14941
6,6
3.08008,3.08008
2.05371,2.05371
6,6
4.1084,4.1084
0,0
0,0
0,0
0,0
0,0
0,0
6,6
3.88574,3.88574
0,0
0,0
0.408203,0.408203
0,0
0.421875,0.421875
0,0
0,0
6,6
0,0
0,0
6,6
0,0
0,0
0,0
6,6
0.455078,0.455078
6,6
6,6
0,0
1.73633,1.73633
0,0
0,0
0,0
0.0996094,0.0996094
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5.0752,5.0752
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6,6
0,0
0,0
0,0
1.00098,1.00098
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3.90918,3.90918
0,0
2.3916,2.3916
1.03809,1.03809
2.13672,2.13672
0.510742,0.510742
0,0
0,0
0,0
0,0
1.68066,1.68066
0,0
0,0
0,0
6,6
0,0
6,6
1.41113,1.41113
0,0
0,0
1.44922,1.44922
0,0
0,0
0,0
6,6
6,6
4.93652,4.93652
6,6
4.33887,4.33887
4.84668,4.84668
0,0
6,6
6,6
0,0
6,6
6,6
4.20605,4.20605
5.3623,5.3623
3.95313,3.95313
6,6
5.83105,5.83105
0,0
5.09863,5.09863
6,6
0,0
0,0
6,6
0,0
0,0
6,6
0,0
0,0
0,0
0,0
0,0
0.755859,0.755859
6,6
0,0
5.08105,5.08105
6,6
6,6
6,6
5.04883,5.04883
0.854492,0.854492
6,6
1.11523,1.11523
3.9248,3.9248
0,0
0,0
6,6
0,0
6,6
6,6
6,6
0,0
0,0
6,6
0,0
6,6
6,6
0,0
4.69141,4.69141
6,6
6,6
6,6
0,0
6,6
3.69141,3.69141
6,6
6,6
6,6
6,6
6,6
0,0
6,6
4.33105,4.33105
3.48242,3.48242
6,6
6,6
6,6
6,6
6,6
6,6
6,6
2.69434,2.69434
6,6
6,6
6,6
2.83594,2.83594
6,6
5.4375,5.4375
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
0,0
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
3.77734,3.77734
6,6
5.31348,5.31348
6,6
6,6
3.7041,3.7041
1.68164,1.68164
3.12207,3.12207
6,6
6,6
6,6
2.63867,2.63867
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
3.66211,3.66211
